qualified_sample,covar_type,outcome,category,normalize,split_folder,split_value,estimation_type,event_time,estimate,sd,ci_low,ci_high
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-15,0.383144323335775,0.309748553577038,-0.22396284167522,0.990251488346771
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-14,0.436237672650761,0.315250083736522,-0.181652491472822,1.05412783677434
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-13,0.464427268534193,0.279991148175923,-0.084355381890615,1.013209918959
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-12,0.283130972896918,0.245803419120704,-0.198643728579663,0.764905674373498
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-11,0.208024838265658,0.216354002356279,-0.216029006352649,0.632078682883965
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-10,0.21408409584107,0.202523290061439,-0.18286155267935,0.611029744361491
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-9,0.167925445559829,0.18036879950005,-0.18559740146027,0.521448292579928
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-8,0.167158711592355,0.167471040924683,-0.161084528620024,0.495401951804734
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-7,-0.0233161632319087,0.208257661661693,-0.431501180088828,0.38486885362501
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-6,-0.0139200362136102,0.192139782156487,-0.390514009240325,0.362673936813105
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-5,-0.220139926345403,0.162436425700679,-0.538515320718734,0.0982354680279279
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-4,-0.381024261973234,0.153794912905229,-0.682462291267482,-0.0795862326789849
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-3,-0.362433772074036,0.15809172134625,-0.672293545912685,-0.0525739982353867
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-2,-0.327463486869484,0.143813238912747,-0.609337435138467,-0.0455895386005011
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,-1,0,0,0,0
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,0,-0.232914947917692,0.186575162424659,-0.598602266270023,0.132772370434639
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,1,-0.742614475978731,0.184616601308072,-1.10446301454255,-0.380765937414909
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,2,-0.972826044641518,0.159317375942274,-1.28508810148838,-0.66056398779466
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,3,-1.01355609801206,0.19135746771168,-1.38861673472695,-0.638495461297164
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,4,-1.24682114601337,0.200454546129176,-1.63971205642655,-0.853930235600182
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,5,-1.32464798078036,0.207155121130495,-1.73067201819613,-0.918623943364592
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,6,-1.51320612703821,0.229383681561031,-1.96279814289783,-1.06361411117859
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,7,-1.3780975260843,0.283877189679902,-1.93449681785691,-0.821698234311694
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,8,-1.56162519722229,0.309638934201651,-2.16851750825753,-0.954732886187058
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,9,-1.73999529739611,0.323295745130116,-2.37365495785113,-1.10633563694108
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,10,-1.58472819418509,0.380967586628141,-2.33142466397625,-0.838031724393932
exact1,pc_score,overall_new_release_count,downstream_outcomes,TRUE,split_full_avg,low,observed,11,-0.758520807417725,1.24493471640789,-3.19859285157719,1.68155123674174
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-15,-0.327087936525298,0.526057748858281,-1.35816112428753,0.703985251236932
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-14,-1.06181271482734,0.527449543029913,-2.09561381916597,-0.0280116104887118
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-13,0.225524522333738,0.398891676969187,-0.556303164525868,1.00735220919334
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-12,0.40598942962451,0.436756233462513,-0.450052787962016,1.26203164721104
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-11,0.134892734896596,0.373345442966102,-0.596864333316963,0.866649803110156
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-10,0.73628695548248,0.638628984360373,-0.515425853863852,1.98799976482881
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-9,-0.0498096107636044,0.397009023378695,-0.827947296585847,0.728328075058638
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-8,0.344723794159803,0.573850841234713,-0.780023854660235,1.46947144297984
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-7,-0.0874135891278748,0.259439586896053,-0.595915179444138,0.421088001188389
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-6,0.344116117320753,0.40191825439622,-0.443643661295838,1.13187589593735
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-5,-0.0460507593661758,0.218897045030629,-0.475088967626209,0.382987448893857
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-4,0.00533198114851219,0.181219719801223,-0.349858669661886,0.36052263195891
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-3,0.0611726646920131,0.181744521067826,-0.295046596600926,0.417391925984952
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-2,0.394397815273948,0.168365445748092,0.0644015416076871,0.724394088940209
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,-1,0,0,0,0
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_period1,high,observed,0,0.182571623398165,0.192818029125283,-0.19535171368739,0.56049496048372
