File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
ov_sentiment_avg_imp                                                float64  206542                               0.073287               -0.794             0.040924             0.084126             0.119156                0.936         0.08472
response_rate_issue_comment_imp                                     float64  133184                               0.610548                  0.0             0.518519             0.652778              0.74359                  1.0        0.206364
response_rate_issue_opened_imp                                      float64  125577                               0.999023                  0.0                  1.0                  1.0                  1.0                  1.0        0.020362
response_rate_pull_request_comment_imp                              float64  130119                               0.481161                  0.0             0.333333             0.514286             0.666667                  1.0        0.248022
response_rate_pull_request_opened_imp                               float64  129311                               0.784972                  0.0               0.6394             0.967391                  1.0                  1.0        0.300817
mean_days_to_respond_issue_comment_imp                              float64  126907                              51.931451             0.000012             7.286945            26.425031            61.662776          2766.892303       91.206507
mean_days_to_respond_issue_opened_imp                               float64  125564                              52.112295                  0.0             1.451952            11.979027             52.32534          2420.648715      115.874784
mean_days_to_respond_pull_request_comment_imp                       float64  115179                               23.31667                  0.0              0.68972             3.919559            16.540671          2774.220626       77.164288
mean_days_to_respond_pull_request_opened_imp                        float64  125291                              18.298631             0.000012             0.235804             1.606105             8.904112          2442.045046       71.183926
mean_days_to_respond_to_last_comment_imp                            float64  141709                              58.548194             0.000012             6.149743            26.821109            70.836266          3239.119525       102.24417
pull_request_opened_pos_sentiment_avg_imp                           float64  196401                               0.046176                  0.0             0.017774             0.038299              0.05965                  1.0        0.047469
pull_request_opened_neg_sentiment_avg_imp                           float64  196401                               0.170241                  0.0             0.063985             0.136696             0.244638                  1.0        0.143844
pull_request_opened_ov_sentiment_avg_imp                            float64  196401                              -0.040055              -0.8151            -0.111729            -0.030314             0.026273               0.9451        0.125758
issue_comment_pos_sentiment_avg_imp                                 float64  186367                               0.124826                  0.0             0.092074                0.119             0.149845                  1.0          0.0682
issue_comment_neg_sentiment_avg_imp                                 float64  186367                               0.031167                  0.0              0.01823             0.028919             0.038655                  1.0        0.027688
issue_comment_ov_sentiment_avg_imp                                  float64  186367                               0.118776              -0.9439              0.07543             0.115974               0.1591               0.9022        0.089759
issue_opened_pos_sentiment_avg_imp                                  float64  192253                                0.07868                  0.0             0.051058             0.072401             0.097756                  1.0         0.05129
issue_opened_neg_sentiment_avg_imp                                  float64  192253                               0.033147                  0.0             0.018059               0.0295             0.041392                0.767        0.028868
issue_opened_ov_sentiment_avg_imp                                   float64  192253                                0.07162              -0.8807              0.02111             0.067588             0.114844               0.9394        0.101121
pull_request_comment_pos_sentiment_avg_imp                          float64  179083                               0.178273                  0.0             0.099146             0.151464             0.221673                  1.0        0.139962
pull_request_comment_neg_sentiment_avg_imp                          float64  179083                               0.031099                  0.0             0.009262              0.02577             0.039917                  1.0        0.038922
pull_request_comment_ov_sentiment_avg_imp                           float64  179083                               0.146936              -0.8519             0.077542             0.138111                0.205               0.9442        0.123796
pct_merged_with_approved_imp                                        float64   83991                               0.309219                  0.0                  0.0                  0.2             0.565217                  1.0        0.318576
pct_merged_with_review_imp                                          float64   83991                               0.363969                  0.0             0.043478             0.298077             0.642857                  1.0        0.324283
avg_pull_request_comment_count_imp                                  float64  133284                               1.939418             0.006452             1.079243             1.666667             2.416667                 72.0        1.378067
avg_all_disc_count_imp                                              float64  135328                               3.573177                  1.0                1.875             2.869565                4.375                126.0        2.911433
avg_pull_request_comment_exclude_opener_count_imp                   float64  131544                               1.507091              0.00431                  1.0             1.333333                  1.9                 33.0        1.026807
avg_all_disc_exclude_opener_count_imp                               float64  134691                               2.763036                  1.0             1.529412                 2.25             3.344828            69.333333         2.02199
