event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-14,-1.7132009201443614,1.4512025066356318,-4.5575578331502,1.131155992861477,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-13,0.6084156659856738,1.2802984971322753,-1.9009693883935856,3.117800720364933,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-12,-0.9382543704582547,0.9969881949255301,-2.8923512325122935,1.0158424915957844,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-11,-0.5369192224209427,0.7786214278970036,-2.06301722109907,0.9891787762571844,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-10,0.28131364656223723,0.630617141378304,-0.9546959505392387,1.5173232436637132,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-9,0.01060973774771018,0.5591498850983461,-1.085324037045048,1.1065435125404683,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-8,0.38404927155453145,0.4469279040240987,-0.491929420332702,1.2600279634417648,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-7,0.7296339486563684,0.3633627466508623,0.01744296522067834,1.4418249320920586,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-6,0.6481745694288489,0.3142484636294949,0.03224758071503897,1.264101558142659,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-5,0.37873187636050637,0.19075187562095014,0.004858200143444125,0.7526055525775686,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
