,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
191,MycroftAI/adapt,True,17,15.0,0.0,0.0,1.0,0.0,0.0,2
192,Parsely/pykafka,False,7,10.0,1.0,0.0,0.0,0.0,0.0,1
193,Parsely/pykafka,False,8,10.0,1.0,0.0,0.0,1.0,1.0,3
194,Parsely/pykafka,False,9,10.0,1.0,3.0,4.0,2.0,2.0,4
195,Parsely/pykafka,False,10,10.0,1.0,0.0,0.0,0.0,0.0,1
196,Parsely/pykafka,False,11,10.0,1.0,0.0,0.0,0.0,0.0,1
197,Parsely/pykafka,False,12,10.0,1.0,0.0,0.0,0.0,0.0,1
198,Parsely/pykafka,False,13,10.0,1.0,0.0,0.0,0.0,0.0,1
199,Parsely/pykafka,True,6,10.0,1.0,25.0,85.0,88.0,123.0,36
200,Parsely/pykafka,True,7,10.0,1.0,23.0,66.0,81.0,114.0,28
201,Parsely/pykafka,True,8,10.0,1.0,15.0,69.0,65.0,109.0,26
202,Parsely/pykafka,True,9,10.0,1.0,13.0,44.0,38.0,67.0,13
203,Parsely/pykafka,True,10,10.0,1.0,0.0,0.0,1.0,1.0,2
204,Parsely/pykafka,True,12,10.0,1.0,0.0,0.0,1.0,1.0,2
205,RLBot/RLBot,False,12,16.0,1.0,0.0,0.0,1.0,1.0,1
206,RLBot/RLBot,False,13,16.0,1.0,0.0,0.0,1.0,1.0,2
207,RLBot/RLBot,False,14,16.0,1.0,0.0,1.0,2.0,2.0,3
208,RLBot/RLBot,False,15,16.0,1.0,0.0,2.0,1.0,1.0,6
209,RLBot/RLBot,True,12,16.0,1.0,13.0,28.0,15.0,33.0,13
210,RLBot/RLBot,True,13,16.0,1.0,16.0,39.0,18.0,31.0,13
211,RLBot/RLBot,True,14,16.0,1.0,7.0,18.0,9.0,18.0,8
212,RLBot/RLBot,True,15,16.0,1.0,11.0,21.0,9.0,11.0,6
213,RLBot/RLBot,True,16,16.0,1.0,5.0,12.0,2.0,3.0,6
214,RLBot/RLBot,True,17,16.0,1.0,1.0,2.0,10.0,10.0,3
215,RedHatQE/widgetastic.patternfly,False,6,8.0,1.0,0.0,0.0,0.0,0.0,3
216,RedHatQE/widgetastic.patternfly,False,7,8.0,1.0,4.0,6.0,1.0,1.0,4
217,RedHatQE/widgetastic.patternfly,False,8,8.0,1.0,4.0,4.0,0.0,0.0,2
218,RedHatQE/widgetastic.patternfly,False,9,8.0,1.0,6.0,7.0,3.0,3.0,3
219,RedHatQE/widgetastic.patternfly,False,10,8.0,1.0,1.0,1.0,0.0,0.0,2
220,RedHatQE/widgetastic.patternfly,False,11,8.0,1.0,0.0,0.0,0.0,0.0,1
221,RedHatQE/widgetastic.patternfly,True,5,8.0,1.0,6.0,16.0,0.0,0.0,5
222,RedHatQE/widgetastic.patternfly,True,6,8.0,1.0,11.0,35.0,0.0,0.0,6
223,RedHatQE/widgetastic.patternfly,True,7,8.0,1.0,6.0,17.0,8.0,13.0,8
224,RedHatQE/widgetastic.patternfly,True,8,8.0,1.0,9.0,24.0,1.0,1.0,4
225,RedHatQE/widgetastic.patternfly,True,9,8.0,1.0,2.0,14.0,1.0,1.0,4
226,RedHatQE/widgetastic.patternfly,True,10,8.0,1.0,10.0,26.0,1.0,1.0,3
227,RedHatQE/widgetastic.patternfly,True,11,8.0,1.0,0.0,5.0,0.0,0.0,2
228,UMIACS/rgwadmin,False,13,13.0,1.0,0.0,4.0,1.0,1.0,1
229,UMIACS/rgwadmin,True,9,13.0,1.0,5.0,24.0,12.0,17.0,5
230,UMIACS/rgwadmin,True,10,13.0,1.0,3.0,11.0,0.0,0.0,2
231,UMIACS/rgwadmin,True,11,13.0,1.0,4.0,18.0,1.0,1.0,2
232,UMIACS/rgwadmin,True,12,13.0,1.0,4.0,11.0,0.0,0.0,2
233,WattTime/pyiso,False,1,5.0,0.0,2.0,2.0,0.0,0.0,1
234,WattTime/pyiso,False,2,5.0,0.0,1.0,2.0,0.0,0.0,1
235,WattTime/pyiso,False,4,5.0,0.0,0.0,0.0,0.0,0.0,1
236,WattTime/pyiso,True,1,5.0,0.0,1.0,18.0,7.0,7.0,4
