dataset,rolling,category,outcome,normalize,method,covar,split_value,event_time,estimate,sd,ci_low,ci_high
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-6,0.660202442459136,0.330785745704028,0.0118623808792417,1.30854250403903
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-5,0.310682349258715,0.228066578135983,-0.136328143887812,0.757692842405242
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-4,0.411770846942962,0.20033121520746,0.0191216651363404,0.804420028749583
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-3,0.25450222414305,0.164495957533083,-0.0679098526217924,0.576914300907892
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-2,0.225379621041462,0.170226028841998,-0.108263395488854,0.559022637571778
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,-1,0,0,0,0
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,0,0.0162576903121806,0.224167601368302,-0.423110808369691,0.455626188994052
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,1,-0.600883691207822,0.166140968388281,-0.926519989248854,-0.275247393166791
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,2,-0.984797821652521,0.182061566082011,-1.34163849117326,-0.62795715213178
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,3,-0.661755705558752,0.271485689131631,-1.19386765625675,-0.129643754860755
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,4,-1.020199084194,0.254712234272095,-1.51943506336731,-0.520963105020697
