File: issue/project_collaboration.parquet

MD5 hash: 660588700eff93ad5f6236e60f1262d9

Keys: repo_name time_period 

                                                              type  count unique                        mean                  min                  25%                  50%                  75%                  max          std
repo_name                                                   object   1280     92                                                                                                                                                  
time_period                                         datetime64[ns]   1280         2019-09-12 22:49:07.500000  2011-07-01 00:00:00  2018-01-01 00:00:00  2020-01-01 00:00:00  2021-08-16 00:00:00  2023-07-01 00:00:00             
treatment_period                                    datetime64[us]   1280         2019-12-11 15:14:37.500000  2016-07-01 00:00:00  2018-07-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00             
prs_opened_dept_comm_per_problem_min_3avg_above            float64   1256                           0.003981                  0.0                  0.0                  0.0                  0.0                  2.0     0.074578
prs_opened_dept_comm_per_problem_min_3avg_below            float64   1256                          25.675159                  0.0                  0.0                  2.0                16.25                753.0    64.903947
prs_opened_prob                                            float64   1256                          83.004777                  0.0                 12.0                 31.0                86.25               1376.0   149.951376
problem_avg_contr_count                                    float64   1256                           2.145259                  1.0             1.823004                  2.1             2.432997             7.333333     0.522472
problem_avg_unimp_contr_count                              float64   1256                           0.817358                  0.0             0.555281                  0.8                  1.0                  6.0     0.404895
close_time                                                 float64   1235                          39.176091             0.000563             5.854706            16.235225            45.311399           869.739349    64.951426
total_contributions                                        float64   1256                           5.246068                  0.0             3.246545             4.648947             6.641989                 45.0     3.060709
important_contributions_share                              float64   1256                           0.617453                  0.0             0.497413             0.645154             0.763639                  1.0     0.201257
review_count                                               float64   1256                           2.365023                  0.0                  0.0             1.027778             2.896175                 78.0     4.970287
review_comment_count                                       float64   1256                           5.169959                  0.0                  2.0             4.166667             6.931141               84.725     5.622253
prop_review_count_na                                       float64   1245                           0.728756                  0.0             0.416667              0.97619                  1.0                  1.0     0.360125
prop_review_comment_count_na                               float64   1245                           0.579221                  0.0             0.333333             0.631579             0.828571                  1.0     0.302694

