event_time,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimate,sd,ci_low,ci_high
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,0,-0.00896238979091088,0.45627658979828,-0.90326450579554,0.885339726213718
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,1,-2.19585816685005,0.378773810492909,-2.93825483541616,-1.45346149828395
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_unique_types,0,-0.441500957789617,0.673775453642607,-1.76210084692913,0.879098931349893
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_unique_types,1,-0.390898131718001,0.385874099717983,-1.14721136716525,0.365415103729245
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,clustering_coefficient,0,0.281381061518766,0.56842162725338,-0.832725327897858,1.39548745093539
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,clustering_coefficient,1,-0.829406397342116,0.390680050411124,-1.59513929614792,-0.0636734985363122
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,cos_sim_diff_actor,0,-0.335000792409343,0.724064542251101,-1.7541672952215,1.08416571040282
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,cos_sim_diff_actor,1,-0.37328209258118,0.481641227687056,-1.31729889884781,0.570734713685449
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,cos_sim_same_actor,0,-1.58753632514,0.527327606250035,-2.62109843339007,-0.553974216889929
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,cos_sim_same_actor,1,-0.0209399726084308,0.454033354926028,-0.910845348263446,0.868965403046584
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_code_of_conduct,0,-0.265290324863231,0.403586583799296,-1.05632002910985,0.52573937938339
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_codeowners,0,-0.244265771855286,0.40351001118423,-1.03514539377638,0.546613850065804
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_contributing_guide,0,-0.412476381867624,0.444814356333705,-1.28431252028169,0.459359756546438
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_contributing_guide,1,0.515395968499155,0.692206003117495,-0.841327797611135,1.87211973460945
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_good_first_issue,0,-0.239240133846473,0.402250435022798,-1.02765098649116,0.54917071879821
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_issue_template,0,-0.215401296248971,0.406860712382577,-1.01284829251882,0.582045700020881
-18,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,has_pr_template,0,-0.255705953563308,0.403620057372342,-1.0468012660131,0.535389358886482
